Key;Title;Description;CategoryGroupID
T001038;Totaal mannen en vrouwen;"Totaal mannen en vrouwen.

Inclusief personen van wie het geslacht onbekend is.";
3000   ;Mannen;;
4000   ;Vrouwen;;
